Participant ID,Trial,Total Pot,Individual Offer,Opponent Offer,Model Decision,Utility,Accept Probability,Expected Proportion,Variance,Valence,Arousal
1001,1,12,1.2,10.8,Reject,-2.8,0.06,0.5,0.0493,-1,4
1001,2,15,5.25,9.75,Accept,1.25,0.78,0.46,0.046,-1,4
1001,3,12,3.0,9.0,Reject,-1.0,0.27,0.44,0.0451,-1,4
1001,8,9,4.5,4.5,Accept,8.5,1.0,0.43,0.0423,1,4
1001,9,9,2.25,6.75,Reject,-1.75,0.15,0.43,0.0415,-1,4
1001,12,15,6.0,9.0,Accept,2.0,0.88,0.42,0.0389,-1,4
1001,13,18,9.0,9.0,Accept,13.0,1.0,0.42,0.037,1,4
1001,15,9,2.25,6.75,Reject,-1.75,0.15,0.42,0.0365,-1,4
1001,17,12,2.4,9.6,Reject,-1.6,0.17,0.41,0.0368,-1,4
1001,18,18,5.4,12.6,Reject,1.4,0.8,0.4,0.0355,-1,4
1001,19,9,2.7,6.3,Reject,-1.3,0.21,0.39,0.0342,-1,4
1001,20,15,5.25,9.75,Accept,1.25,0.78,0.39,0.0327,-1,4
1001,21,15,1.5,13.5,Reject,-2.5,0.08,0.39,0.0347,-1,4
1001,24,15,3.0,12.0,Reject,-1.0,0.27,0.37,0.0345,-1,4
1001,25,9,2.7,6.3,Reject,-1.3,0.21,0.37,0.0332,-1,4
1001,26,15,5.25,9.75,Accept,1.25,0.78,0.36,0.032,-1,4
1001,27,6,2.4,3.6,Accept,6.4,1.0,0.36,0.0308,1,4
1001,28,9,3.6,5.4,Accept,7.6,1.0,0.36,0.0298,1,4
1001,29,9,1.8,7.2,Reject,-2.2,0.1,0.37,0.0297,-1,4
1001,30,9,2.7,6.3,Reject,-1.3,0.21,0.36,0.0288,-1,4
1001,31,9,4.5,4.5,Accept,8.5,1.0,0.36,0.0285,1,4
1001,33,15,3.75,11.25,Reject,-0.25,0.44,0.36,0.028,-1,4
1001,34,9,3.6,5.4,Accept,7.6,1.0,0.36,0.0272,1,4
1001,35,6,1.2,4.8,Reject,-2.8,0.06,0.36,0.0271,-1,4
1001,36,12,4.2,7.8,Accept,0.2,0.55,0.35,0.0263,-1,4
1001,37,12,4.2,7.8,Accept,0.2,0.55,0.35,0.0256,-1,4
1001,38,15,6.0,9.0,Accept,10.0,1.0,0.35,0.025,1,4
1001,39,6,1.8,4.2,Reject,-2.2,0.1,0.36,0.0244,-1,4
1001,41,18,4.5,13.5,Accept,0.5,0.62,0.35,0.024,-1,4
1001,45,9,2.7,6.3,Accept,-1.3,0.21,0.35,0.0235,-1,4
1001,46,15,1.5,13.5,Reject,-2.5,0.08,0.35,0.0244,-1,4
1001,47,15,5.25,9.75,Accept,9.25,1.0,0.34,0.0238,1,4
1001,48,15,3.75,11.25,Accept,-0.25,0.44,0.34,0.0235,-1,4
1001,49,15,3.0,12.0,Reject,-1.0,0.27,0.34,0.0234,-1,4
1001,50,12,4.8,7.2,Accept,8.8,1.0,0.34,0.023,1,4
1001,51,9,1.8,7.2,Reject,-2.2,0.1,0.34,0.0229,-1,4
1002,1,15,6.0,9.0,Accept,2.0,0.88,0.5,0.0372,-1,4
1002,2,15,3.75,11.25,Reject,-0.25,0.44,0.49,0.0384,-1,4
1002,4,15,1.5,13.5,Reject,-2.5,0.08,0.47,0.0447,-1,4
1002,6,12,3.0,9.0,Accept,-1.0,0.27,0.43,0.0437,-1,4
1002,7,9,2.7,6.3,Reject,-1.3,0.21,0.42,0.0416,-1,4
1002,8,9,3.6,5.4,Reject,-0.4,0.4,0.41,0.039,-1,4
1002,9,9,2.25,6.75,Reject,-1.75,0.15,0.41,0.0381,-1,4
1002,11,15,1.5,13.5,Reject,-2.5,0.08,0.4,0.0405,-1,4
1002,13,9,2.7,6.3,Accept,-1.3,0.21,0.38,0.0387,-1,4
1002,14,15,3.0,12.0,Reject,-1.0,0.27,0.37,0.0382,-1,4
1002,15,6,1.8,4.2,Reject,-2.2,0.1,0.36,0.0366,-1,4
1002,16,18,5.4,12.6,Reject,1.4,0.8,0.36,0.0351,-1,4
1002,18,6,1.2,4.8,Reject,-2.8,0.06,0.36,0.0346,-1,4
1002,19,15,6.0,9.0,Accept,10.0,1.0,0.35,0.0332,1,4
1002,20,9,2.7,6.3,Reject,-1.3,0.21,0.35,0.032,-1,4
1002,21,15,5.25,9.75,Accept,5.25,0.99,0.35,0.0308,0,0
1002,22,15,5.25,9.75,Accept,5.25,0.99,0.35,0.0296,0,0
1002,23,12,1.2,10.8,Accept,-2.8,0.06,0.35,0.0307,-1,4
1002,26,9,4.5,4.5,Accept,8.5,1.0,0.34,0.0305,1,4
1002,28,18,4.5,13.5,Accept,0.5,0.62,0.35,0.0298,-1,4
1002,30,15,3.75,11.25,Accept,-0.25,0.44,0.34,0.0291,-1,4
1002,31,12,4.2,7.8,Accept,8.2,1.0,0.34,0.0282,1,4
1002,32,9,3.6,5.4,Accept,7.6,1.0,0.34,0.0274,1,4
1002,34,9,2.7,6.3,Reject,-1.3,0.21,0.34,0.0267,-1,4
1002,35,15,3.0,12.0,Accept,-1.0,0.27,0.34,0.0265,-1,4
1002,36,15,5.25,9.75,Accept,9.25,1.0,0.34,0.0257,1,4
1002,39,12,2.4,9.6,Reject,-1.6,0.17,0.34,0.0255,-1,4
1002,40,15,5.25,9.75,Accept,9.25,1.0,0.33,0.0249,1,4
1002,41,18,9.0,9.0,Accept,13.0,1.0,0.33,0.0249,1,4
1002,43,9,4.5,4.5,Accept,8.5,1.0,0.34,0.0249,1,4
1002,44,12,4.2,7.8,Accept,8.2,1.0,0.34,0.0243,1,4
1002,45,6,2.4,3.6,Accept,6.4,1.0,0.34,0.0238,1,4
1002,46,9,2.25,6.75,Reject,-1.75,0.15,0.34,0.0235,-1,4
1002,48,9,1.8,7.2,Reject,-2.2,0.1,0.34,0.0234,-1,4
1002,50,9,1.8,7.2,Reject,-2.2,0.1,0.34,0.0233,-1,4
1002,51,12,4.8,7.2,Accept,8.8,1.0,0.33,0.0229,1,4
